what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372007232209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007232598
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1372007234109
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372007240150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1372007242630
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372007243757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372007244800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007245063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007246403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007255156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1372007320089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372007322014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007322343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1372007459712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007460241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007554085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007586393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007590213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007592575
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372007592700
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372007592768
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1372007592768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007595626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1372007595663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007597840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372007602530
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1372007604804
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1372007605969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007607034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1372007630566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1372007631382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1372007632245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372007633740
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372007751882
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1372007753137
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1372007753139
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1372007753155
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1372007753156
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1372007753193
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1372007756265
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1372007756306
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1372007756310
started,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1372007756543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007756610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007760646
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1372007760718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007761076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007761128
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimplePush",1372007766340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007766628
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1372007766948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007771549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007771895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007772582
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372007778049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007798256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007915414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007920188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007921470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372007922485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372008280615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372008288369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372008289659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372008359990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372009925738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372009938657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372009941272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372010037692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011093891
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1372011095401
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1372011098854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011099118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011103447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011120366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011139281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011140411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372011140514
